show_id,type,title,country,date_added,listed_in
s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,,"November 26, 2021","Animation, Family"
s2,Movie,Ernest Saves Christmas,,"November 26, 2021",
s3,Movie,Ice Age: A Mammoth Christmas,United States,"November 26, 2021","Animation, Comedy, Family"
s4,Movie,The Queen Family Singalong,,"November 26, 2021",Musical
s5,TV Show,The Beatles: Get Back,,"November 25, 2021","Docuseries, Historical, Music"
s6,Movie,Becoming Cousteau,United States,"November 24, 2021","Biographical, Documentary"
s7,TV Show,Hawkeye,,"November 24, 2021","Action-Adventure, Superhero"
s8,TV Show,Port Protection Alaska,United States,"November 24, 2021","Docuseries, Reality, Survival"
s9,TV Show,Secrets of the Zoo: Tampa,United States,"November 24, 2021","Animals & Nature, Docuseries, Family"
s10,Movie,A Muppets Christmas: Letters To Santa,United States,"November 19, 2021","Comedy, Family, Musical"
s11,Movie,Adventure Thru the Walt Disney Archives,,"November 19, 2021",Documentary
s12,Movie,Puppy for Hanukkah,,"November 19, 2021","Comedy, Family, Music"
s13,Movie,The Pixar Story,United States,"November 19, 2021","Documentary, Family"
s14,TV Show,"Dr. Oakley, Yukon Vet",United States,"November 17, 2021","Action-Adventure, Animals & Nature, Docuseries"
s15,Movie,America the Beautiful,,"November 12, 2021",Animals & Nature
s16,Movie,Baymax!,,"November 12, 2021",Animation
s17,Movie,Ciao Alberto,,"November 12, 2021","Animation, Comedy, Family"
s18,TV Show,Disney Fancy Nancy,"United States, Canada","November 12, 2021","Animation, Kids"
s19,TV Show,Disney Intertwined,,"November 12, 2021","Comedy, Coming of Age, Drama"
s20,Movie,Enchanted,United States,"November 12, 2021","Comedy, Family, Fantasy"
s21,Movie,Feast,United States,"November 12, 2021","Animation, Comedy, Drama"
s22,Movie,Frozen Fever,United States,"November 12, 2021","Animation, Family, Fantasy"
s23,Movie,Get a Horse!,United States,"November 12, 2021","Action-Adventure, Animation, Comedy"
s24,Movie,Home Sweet Home Alone,United States,"November 12, 2021","Comedy, Family"
