Datum,Ort,Produkt,Anzahl
2017-01-01,Erfurt,SmartDesk,0
2017-01-01,Erfurt,HealthHub,0
2017-01-01,Erfurt,QuantumStorage,0
2017-01-01,Erfurt,LearningSphere,0
2017-01-01,Erfurt,AutoPilot,0
2017-01-01,Ilmenau,SmartDesk,0
2017-01-01,Ilmenau,HealthHub,0
2017-01-01,Ilmenau,QuantumStorage,0
2017-01-01,Ilmenau,LearningSphere,0
2017-01-01,Ilmenau,AutoPilot,0
2017-01-01,Jena,SmartDesk,0
2017-01-01,Jena,HealthHub,0
2017-01-01,Jena,QuantumStorage,0
2017-01-01,Jena,LearningSphere,0
2017-01-01,Jena,AutoPilot,0
2017-01-01,Weimar,SmartDesk,0
2017-01-01,Weimar,HealthHub,0
2017-01-01,Weimar,QuantumStorage,0
2017-01-01,Weimar,LearningSphere,0
2017-01-01,Weimar,AutoPilot,0
2017-01-02,Erfurt,SmartDesk,601
2017-01-02,Erfurt,HealthHub,608
2017-01-02,Erfurt,QuantumStorage,401
2017-01-02,Erfurt,LearningSphere,991
2017-01-02,Erfurt,AutoPilot,917
2017-01-02,Ilmenau,SmartDesk,495
2017-01-02,Ilmenau,HealthHub,231
2017-01-02,Ilmenau,QuantumStorage,302
2017-01-02,Ilmenau,LearningSphere,914
2017-01-02,Ilmenau,AutoPilot,728
2017-01-02,Jena,SmartDesk,611
2017-01-02,Jena,HealthHub,258
2017-01-02,Jena,QuantumStorage,558
2017-01-02,Jena,LearningSphere,613
2017-01-02,Jena,AutoPilot,396
2017-01-02,Weimar,SmartDesk,419
2017-01-02,Weimar,HealthHub,357
2017-01-02,Weimar,QuantumStorage,246
2017-01-02,Weimar,LearningSphere,1210
2017-01-02,Weimar,AutoPilot,601
2017-01-03,Erfurt,SmartDesk,414
2017-01-03,Erfurt,HealthHub,454
2017-01-03,Erfurt,QuantumStorage,301
2017-01-03,Erfurt,LearningSphere,768
2017-01-03,Erfurt,AutoPilot,545
2017-01-03,Ilmenau,SmartDesk,331
2017-01-03,Ilmenau,HealthHub,146
2017-01-03,Ilmenau,QuantumStorage,245
2017-01-03,Ilmenau,LearningSphere,768
2017-01-03,Ilmenau,AutoPilot,358
2017-01-03,Jena,SmartDesk,422
2017-01-03,Jena,HealthHub,191
2017-01-03,Jena,QuantumStorage,355
2017-01-03,Jena,LearningSphere,454
2017-01-03,Jena,AutoPilot,193
2017-01-03,Weimar,SmartDesk,207
2017-01-03,Weimar,HealthHub,224
2017-01-03,Weimar,QuantumStorage,169
2017-01-03,Weimar,LearningSphere,687
2017-01-03,Weimar,AutoPilot,414
2017-01-04,Erfurt,SmartDesk,488
2017-01-04,Erfurt,HealthHub,433
2017-01-04,Erfurt,QuantumStorage,311
2017-01-04,Erfurt,LearningSphere,915
2017-01-04,Erfurt,AutoPilot,753
2017-01-04,Ilmenau,SmartDesk,417
2017-01-04,Ilmenau,HealthHub,184
2017-01-04,Ilmenau,QuantumStorage,277
2017-01-04,Ilmenau,LearningSphere,811
2017-01-04,Ilmenau,AutoPilot,476
2017-01-04,Jena,SmartDesk,494
2017-01-04,Jena,HealthHub,233
2017-01-04,Jena,QuantumStorage,459
2017-01-04,Jena,LearningSphere,516
2017-01-04,Jena,AutoPilot,251
2017-01-04,Weimar,SmartDesk,315
2017-01-04,Weimar,HealthHub,250
2017-01-04,Weimar,QuantumStorage,240
2017-01-04,Weimar,LearningSphere,902
2017-01-04,Weimar,AutoPilot,488
2017-01-05,Erfurt,SmartDesk,464
2017-01-05,Erfurt,HealthHub,581
2017-01-05,Erfurt,QuantumStorage,393
2017-01-05,Erfurt,LearningSphere,829
2017-01-05,Erfurt,AutoPilot,830
2017-01-05,Ilmenau,SmartDesk,440
2017-01-05,Ilmenau,HealthHub,193
2017-01-05,Ilmenau,QuantumStorage,278
2017-01-05,Ilmenau,LearningSphere,1032
2017-01-05,Ilmenau,AutoPilot,622
2017-01-05,Jena,SmartDesk,488
2017-01-05,Jena,HealthHub,231
2017-01-05,Jena,QuantumStorage,463
2017-01-05,Jena,LearningSphere,692
2017-01-05,Jena,AutoPilot,343
2017-01-05,Weimar,SmartDesk,295
2017-01-05,Weimar,HealthHub,335
2017-01-05,Weimar,QuantumStorage,295
2017-01-05,Weimar,LearningSphere,926
2017-01-05,Weimar,AutoPilot,464
2017-01-06,Erfurt,SmartDesk,407
2017-01-06,Erfurt,HealthHub,391
2017-01-06,Erfurt,QuantumStorage,270
2017-01-06,Erfurt,LearningSphere,741
2017-01-06,Erfurt,AutoPilot,741
2017-01-06,Ilmenau,SmartDesk,428
2017-01-06,Ilmenau,HealthHub,150
2017-01-06,Ilmenau,QuantumStorage,207
2017-01-06,Ilmenau,LearningSphere,693
2017-01-06,Ilmenau,AutoPilot,435
2017-01-06,Jena,SmartDesk,480
2017-01-06,Jena,HealthHub,173
2017-01-06,Jena,QuantumStorage,418
2017-01-06,Jena,LearningSphere,460
2017-01-06,Jena,AutoPilot,267
2017-01-06,Weimar,SmartDesk,294
2017-01-06,Weimar,HealthHub,247
2017-01-06,Weimar,QuantumStorage,182
2017-01-06,Weimar,LearningSphere,908
2017-01-06,Weimar,AutoPilot,407
2017-01-07,Erfurt,SmartDesk,0
2017-01-07,Erfurt,HealthHub,0
2017-01-07,Erfurt,QuantumStorage,0
2017-01-07,Erfurt,LearningSphere,0
2017-01-07,Erfurt,AutoPilot,0
2017-01-07,Ilmenau,SmartDesk,0
2017-01-07,Ilmenau,HealthHub,0
2017-01-07,Ilmenau,QuantumStorage,0
2017-01-07,Ilmenau,LearningSphere,0
2017-01-07,Ilmenau,AutoPilot,0
2017-01-07,Jena,SmartDesk,0
2017-01-07,Jena,HealthHub,0
2017-01-07,Jena,QuantumStorage,0
2017-01-07,Jena,LearningSphere,0
2017-01-07,Jena,AutoPilot,0
2017-01-07,Weimar,SmartDesk,0
2017-01-07,Weimar,HealthHub,0
2017-01-07,Weimar,QuantumStorage,0
2017-01-07,Weimar,LearningSphere,0
2017-01-07,Weimar,AutoPilot,0
2017-01-08,Erfurt,SmartDesk,0
2017-01-08,Erfurt,HealthHub,0
2017-01-08,Erfurt,QuantumStorage,0
2017-01-08,Erfurt,LearningSphere,0
2017-01-08,Erfurt,AutoPilot,0
