show_id,type,title,release_year
s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,2016
s2,Movie,Ernest Saves Christmas,1988
s3,Movie,Ice Age: A Mammoth Christmas,2011
s4,Movie,The Queen Family Singalong,2021
s5,TV Show,The Beatles: Get Back,2021
s6,Movie,Becoming Cousteau,2021
s7,TV Show,Hawkeye,2021
s8,TV Show,Port Protection Alaska,2015
s9,TV Show,Secrets of the Zoo: Tampa,2019
s10,Movie,A Muppets Christmas: Letters To Santa,2008
s11,Movie,Adventure Thru the Walt Disney Archives,2020
s12,Movie,Puppy for Hanukkah,2020
s13,Movie,The Pixar Story,2007
s14,TV Show,"Dr. Oakley, Yukon Vet",2013
s15,Movie,America the Beautiful,2021
s16,Movie,Baymax!,2021
s17,Movie,Ciao Alberto,2021
s18,TV Show,Disney Fancy Nancy,2018
s19,TV Show,Disney Intertwined,2021
s20,Movie,Enchanted,2007
s21,Movie,Feast,2014
s22,Movie,Frozen Fever,2015
s23,Movie,Get a Horse!,2013
s24,Movie,Home Sweet Home Alone,2021
s25,Movie,Jungle Cruise,2021
s26,Movie,Limitless with Chris Hemsworth,2021
s27,Movie,Marvel Studios’ 2021 Disney+ Day Special,2021
s28,Movie,Obi-Wan Kenobi,2021
s29,TV Show,Olaf Presents,2021
s30,Movie,Paperman,2012
s31,Movie,Pixar 2021 Disney+ Day Special,2021
s32,Movie,Shang-Chi and The Legend of The Ten Rings,2021
s33,Movie,Spin,2021
s34,Movie,Tangled Ever After,2012
s35,Movie,The Ballad of Nessie,2011
s36,Movie,The Little Matchgirl,2006
s37,Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,2021
s38,Movie,The Proud Family: Louder and Prouder,2021
s39,Movie,The Simpsons in Plusaversary,2021
s40,Movie,Tick Tock Tale,2010
s41,Movie,Under the Helmet: The Legacy of Boba Fett,2021
s42,Movie,Willow,2021
s43,Movie,Alvin and the Chipmunks: Chipwrecked,2011
s44,Movie,Jingle All The Way,1996
s45,Movie,Jingle All the Way 2,2014
s46,Movie,Prep & Landing: Operation Secret Santa,2010
s47,Movie,Santa Buddies: The Legend of Santa Paws,2009
s48,Movie,Snow Buddies,2008
s49,Movie,Space Buddies,2009
s50,Movie,The Search for Santa Paws,2010
s51,Movie,X-Men: First Class,2011
s52,TV Show,Disney Amphibia,2018
s53,TV Show,Photo Ark,2017
s54,TV Show,Storm Rising,2021
s55,Movie,Bob Ballard: An Explorer's Life,2021
s56,Movie,"McFarland, USA",2015
s57,Movie,Rookie of the Year,1993
s58,Movie,Thumbelina,1994
s59,TV Show,PJ Masks,2015
s60,TV Show,The Wild Life of Dr. Ole,2021
s61,Movie,Lost Cities with Albert Lin: The Great Flood,2021
s62,Movie,Megacity of the Maya Warriors,2021
s63,TV Show,Apollo: Back To The Moon,2019
s64,TV Show,Just Beyond,2021
s65,TV Show,Secrets Of The Zoo: Down Under,2020
s66,TV Show,Secrets of the Zoo: North Carolina,2020
s67,TV Show,The Wizard of Paws,2021
s68,TV Show,Zombies: Addison's Moonstone Mystery,2020
s69,Movie,Just Roll With It: You Decide Live!,2019
s70,Movie,Mickey's Tale of Two Witches,2021
s71,Movie,Muppets Haunted Mansion,2021
s72,Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,2021
s73,Movie,Under Wraps,2021
s74,TV Show,Among the Stars,2021
s75,Movie,Black Widow,2021
s76,TV Show,Drain the Oceans,2017
s77,TV Show,Drain The Oceans: The Mississippi River & Arctic War,2021
s78,Movie,Fauci,2021
s79,TV Show,IMPACT with Gal Gadot,2021
s80,TV Show,The Ghost and Molly McGee,2021
s81,Movie,Alvin and the Chipmunks,2007
s82,Movie,Alvin and the Chipmunks: The Road Chip,2015
s83,Movie,LEGO Star Wars Terrifying Tales,2021
s84,Movie,Maleficent,2014
s85,Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,2017
s86,TV Show,Disney Vampirina,2017
s87,TV Show,Disney's Magic Bake-Off,2021
