show_id,type,title,budget
s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,0
s2,Movie,Ernest Saves Christmas,6000000
s3,Movie,Ice Age: A Mammoth Christmas,0
s4,Movie,The Queen Family Singalong,0
s5,TV Show,The Beatles: Get Back,
s6,Movie,Becoming Cousteau,0
s7,TV Show,Hawkeye,
s8,TV Show,Port Protection Alaska,
s9,TV Show,Secrets of the Zoo: Tampa,
s10,Movie,A Muppets Christmas: Letters to Santa,5000000
s11,Movie,Adventure Thru the Walt Disney Archives,0
s12,Movie,Puppy for Hanukkah,0
s13,Movie,The Pixar Story,0
s14,TV Show,"Dr. Oakley, Yukon Vet",
s15,Movie,America The Beautiful,0
s16,TV Show,Baymax!,
s17,Movie,Ciao Alberto,45223
s18,TV Show,Fancy Nancy,
s19,TV Show,Disney Intertwined,
s20,Movie,Enchanted,85000000
s21,Movie,Feast,3200000
s22,Movie,Frozen Fever,0
s23,Movie,Get a Horse!,0
s24,Movie,Home Sweet Home Alone,0
s25,Movie,Jungle Cruise,200000000
s26,TV Show,Limitless with Chris Hemsworth,
s27,Movie,Marvel Studios' 2021 Disney+ Day Special,0
s28,TV Show,Obi-Wan Kenobi,
s29,TV Show,Olaf Presents,
s30,Movie,Paperman,0
s31,Movie,Pixar 2021 Disney+ Day Special,0
s32,Movie,Shang-Chi and the Legend of the Ten Rings,150000000
s33,Movie,Spin,0
s34,Movie,Tangled Ever After,0
s35,Movie,The Ballad of Nessie,0
s36,Movie,The Little Matchgirl,0
s37,Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,0
s38,TV Show,The Proud Family: Louder and Prouder,
s39,Movie,The Simpsons in Plusaversary,0
s40,Movie,Tick Tock Tale,0
s41,Movie,Under the Helmet: The Legacy of Boba Fett,0
s42,Movie,Willow,35000000
s43,Movie,Alvin and the Chipmunks: Chipwrecked,75000000
s44,Movie,Jingle All the Way,60000000
s45,Movie,Jingle All the Way 2,10000000
s46,Movie,Prep & Landing Stocking Stuffer: Operation: Secret Santa,0
s47,Movie,Santa Buddies,0
s48,Movie,Snow Buddies,4000000
s49,Movie,Space Buddies,0
s50,Movie,The Search for Santa Paws,0
s51,Movie,X-Men: First Class,160000000
s52,TV Show,Amphibia,
s53,TV Show,Photo Ark,
s54,TV Show,Storm Rising,
s55,Movie,Bob Ballard: An Explorer's Life,0
s56,Movie,"McFarland, USA",0
s57,Movie,Rookie of the Year,31000000
s58,Movie,Thumbelina,28000000
s59,TV Show,PJ Masks,
s60,TV Show,The Wild Life of Dr. Ole,
s61,Movie,Lost Cities: The Great Flood,0
s62,Movie,Lost Cities: Megacity of the Maya Warrior King,0
s63,TV Show,Apollo: Back to the Moon,
s64,TV Show,Just Beyond,
s65,TV Show,Secrets of the Zoo: Down Under,
s66,TV Show,Secrets of the Zoo: North Carolina,
s67,TV Show,The Wizard of Paws,
s68,TV Show,ZOMBIES: Addison's Moonstone Mystery,
s69,Movie,Just Roll With It: You Decide Live!,0
s70,Movie,Mickey's Tale of Two Witches,0
s71,Movie,Muppets Haunted Mansion,0
s72,Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,0
s73,Movie,Under Wraps,0
s74,TV Show,Among the Stars,
s75,Movie,Black Widow,200000000
s76,TV Show,Drain the Oceans,
s77,Movie,Drain the Oceans: Arctic War,0
s78,Movie,Fauci,0
s79,TV Show,National Geographic Presents: IMPACT with Gal Gadot,
s80,TV Show,The Ghost and Molly McGee,
s81,Movie,Alvin and the Chipmunks,60000000
s82,Movie,Alvin and the Chipmunks: The Road Chip,90000000
s83,Movie,LEGO Star Wars Terrifying Tales,0
s84,Movie,Maleficent,180000000
s85,Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,0
s86,TV Show,Vampirina,
s87,TV Show,Magic Bake-Off,
s88,TV Show,Great Barrier Reef,
s89,TV Show,Ready for Preschool,
s90,TV Show,Rolie Polie Olie,
s91,TV Show,Star Wars Galaxy of Sounds,
s92,TV Show,The Hatcher Family Dairy,
s93,TV Show,The Simpsons,
s94,Movie,A Spark Story,0
s95,Movie,Spooky Buddies,0
s96,Movie,The Fault in Our Stars,12000000
s97,TV Show,Dog: Impossible,
s98,TV Show,Marvel's Spidey and His Amazing Friends,
s99,TV Show,Star Wars: Visions,
s100,Movie,Confessions of a Shopaholic,40000000
s101,Movie,Descendants: The Royal Wedding,0
s102,Movie,Disney's Broadway Hits at London's Royal Albert Hall,0
s103,Movie,Flooded Tombs of the Nile,0
s104,Movie,Jade Eyed Leopard,0
s105,Movie,Nona,0
s106,Movie,Smoky Mountain Park Rangers,0
s107,TV Show,Life Below Zero,
s108,TV Show,Miraculous: Tales of Ladybug & Cat Noir,
s109,TV Show,Unknown Waters with Jeremy Wade,
s110,Movie,Far Away From Raven's Home,0
s111,Movie,Pirates of the Caribbean: On Stranger Tides,380000000
s112,Movie,Twenty Something,0
s113,TV Show,"Doogie Kamealoha, M.D.",
s114,TV Show,"Mira, Royal Detective",
s115,TV Show,Pepper Ann,
s116,TV Show,The Incredible Dr. Pol,
s117,Movie,Happier Than Ever: A Love Letter to Los Angeles,0
s118,Movie,Dark Phoenix,200000000
s119,TV Show,Alaska Animal Rescue,
s120,TV Show,Dug Days,
s121,Movie,Cruella,200000000
s122,Movie,Dan in Real Life,25000000
s123,Movie,Disney Princess Remixed: An Ultimate Princess Celebration,0
s124,Movie,Marvel One-Shot: All Hail the King,0
s125,Movie,Underdog,25000000
s126,TV Show,Dr. K's Exotic Animal ER,
s127,TV Show,Gigantosaurus,
s128,TV Show,Life Below Zero: Next Generation,
s129,Movie,Eragon,100000000
s130,TV Show,Growing Up Animal,
s131,Movie,Fantastic Four,120000000
s132,Movie,X-Men,75000000
s133,TV Show,America's Funniest Home Videos: Animal Edition,
s134,TV Show,The Chicken Squad,
s135,TV Show,Disney Presents Goofy in How to Stay at Home,
s136,TV Show,Gabby Duran and the Unsittables,
s137,TV Show,What If...?,
s138,Movie,Beverly Hills Chihuahua 2,12000000
s139,Movie,Beverly Hills Chihuahua 3: Viva la Fiesta!,0
s140,Movie,Killer Shark Vs. Killer Whale,0
s141,Movie,Mrs. Doubtfire,25000000
s142,TV Show,"Cesar Millan: Better Human, Better Dog",
s143,TV Show,Walt Disney Animation Studios: Short Circuit Experimental Films,
s144,Movie,Built for Mars: The Perseverance Rover,0
s145,Movie,Garfield,50000000
s146,TV Show,Chip 'n' Dale: Park Life,
s147,TV Show,Critter Fixers: Country Vets,
s148,TV Show,T.O.T.S.,
s149,TV Show,Mickey Mouse Funhouse,
s150,TV Show,Minnie's Bow-Toons,
s151,TV Show,Turning the Tables with Robin Roberts,
s152,Movie,Ice Age: The Meltdown,80000000
s153,Movie,Playing with Sharks,0
s154,Movie,Shark vs. Surfer,0
s155,Movie,Shark Vs. Whale,0
s156,Movie,Stuntman,0
s157,Movie,Walking with Dinosaurs,80000000
s158,Movie,What the Shark?,0
s159,TV Show,Behind the Attraction,
s160,TV Show,The Owl House,
s161,TV Show,Marvel's Spidey and His Amazing Friends,
s162,TV Show,Miles from Tomorrowland,
s163,TV Show,Turner & Hooch,
s164,Movie,Most Wanted Sharks,0
s165,Movie,Secrets of the Bull Shark,0
s166,TV Show,Shark Attack Files,
s167,Movie,Shark Attack Investigation: The Paige Winter Story,0
s168,Movie,Sharkcano,0
s169,Movie,We Bought a Zoo,50000000
s170,Movie,World's Biggest Bull Shark?,0
s171,Movie,World's Most Dangerous Shark?,0
s172,TV Show,So Random!,
s173,Movie,Flicka,15000000
s174,Movie,Miraculous World: Shanghai – The Legend of Ladydragon,0
s175,Movie,Orca Vs. Great White,0
s176,Movie,Rogue Shark,0
s177,Movie,Shark Beach With Chris Hemsworth,0
s178,Movie,Shark Gangs,0
s179,TV Show,The Croc that ate Jaws,
s180,TV Show,When Sharks Attack,
s181,TV Show,Breaking Bobby Bones,
s182,TV Show,Mickey Mouse Mixed-Up Adventures,
s183,TV Show,Monsters at Work,
s184,Movie,"The Simpsons: The Good, the Bart, and the Loki",0
s185,TV Show,Raven's Home,
s186,Movie,The Sandlot,0
s187,Movie,The Sandlot 2,0
s188,Movie,Adventures in Babysitting,9000000
s189,TV Show,Running Wild with Bear Grylls,
s190,TV Show,The Mysterious Benedict Society,
s191,Movie,Wolfgang,0
s192,TV Show,Dino Ranch,
s193,TV Show,Just Roll with It,
s194,TV Show,"Heartland Docs, DVM",
s195,Movie,Luca,200000000
s196,TV Show,Star Wars: Droids,
s197,TV Show,Puppy Dog Pals,
s198,Movie,Strange Magic,0
s199,Movie,The Happiest Millionaire,0
s200,Movie,The Pacifier,56000000
s201,TV Show,Zenimation,
s202,TV Show,Loki,
s203,TV Show,Gordon Ramsay: Uncharted,
s204,TV Show,Muppet Babies,
s205,Movie,Raya and the Last Dragon,100000000
s206,Movie,Red Tails,58000000
s207,Movie,Us Again,0
s208,Movie,American Eid,0
s209,TV Show,Bluey,
s210,Movie,Dinner Is Served,0
s211,TV Show,Sydney to the Max,
s212,Movie,Growing Fangs,0
s213,TV Show,Kingdom of the Polar Bears,
s214,Movie,Let's Be Tigers,0
s215,Movie,The Last of the Chupacabras,0
s216,Movie,The Little Prince(ss),0
s217,TV Show,Wicked Tuna,
s218,TV Show,Big City Greens,
s219,TV Show,Fury Files,
s220,TV Show,Ice Road Rescue,
s221,Movie,Tinker Bell and the Legend of the NeverBeast,0
s222,TV Show,Schoolhouse Rock!,
s223,TV Show,Special Agent Oso,
s224,TV Show,Race to the Center of the Earth,
s225,TV Show,Special Agent Oso,
s226,Movie,X-Men: The Last Stand,210000000
s227,TV Show,The Incredible Hulk,
s228,Movie,Fantastic Four: Rise of the Silver Surfer,130000000
s229,TV Show,Wander Over Yonder,
s230,Movie,Wild Hearts Can't Be Broken,0
s231,Movie,Maggie Simpson in The Force Awakens from Its Nap,0
s232,Movie,Star Wars Biomes,0
s233,TV Show,Star Wars Vehicle Flythroughs,
s234,TV Show,Star Wars: The Bad Batch,
s235,TV Show,Spider-Man,
s236,Movie,22 vs. Earth,0
s237,TV Show,Adventures in Wonderland,
s239,TV Show,DuckTales,
s240,Movie,Oklahoma!,0
s241,Movie,Baby's Day Out,50000000
s242,Movie,Being the Queen,0
s243,TV Show,Liv and Maddie,
s244,TV Show,Secrets of the Whales,
s245,TV Show,Big Shot,
s246,TV Show,Earth Moods,
s247,TV Show,Primal Survivor,
s248,Movie,Rio,90000000
s249,Movie,The Kid Who Would Be King,59000000
s250,Movie,Treasure Buddies,0
s251,Movie,White Fang 2: Myth of the White Wolf,0
s252,Movie,Cesar Millan: The Real Story,0
s253,TV Show,Future-Worm!,
s254,TV Show,Kick Buttowski: Suburban Daredevil,
s255,Movie,Man of the House,40000000
s256,Movie,Mark Twain and Me,0
s257,Movie,Squanto: A Warrior's Tale,0
s258,Movie,The Ewok Adventure,3000000
s259,Movie,Ewoks: The Battle for Endor,0
s260,TV Show,Higglytown Heroes,
s261,Movie,The Island at the Top of the World,0
s262,TV Show,Made in A Day,
s263,Movie,Night at the Museum,110000000
s264,TV Show,Secrets of the Zoo,
s265,Movie,Sharks of the Bermuda Triangle,0
s266,TV Show,Star Wars: Clone Wars,
s267,Movie,The Story of the Faithful Wookiee,0
s268,TV Show,Star Wars: Ewoks,
s269,Movie,The Big Year,41000000
s270,Movie,The Last Ice,500000
s271,Movie,Third Man on the Mountain,0
s272,TV Show,Walk the Prank,
s273,Movie,Gnomeo & Juliet,36000000
s274,TV Show,Pickle & Peanut,
s275,TV Show,The Mighty Ducks: Game Changers,
s276,TV Show,Big Hero 6 The Series,
s277,Movie,Disney My Music Story: Perfume,0
s278,TV Show,Mexico Untamed,
s279,TV Show,The Falcon and the Winter Soldier,
s280,Movie,Doc McStuffins: The Doc Is In,0
s281,TV Show,Marvel Studios: Assembled,
s282,Movie,Miss Peregrine's Home for Peculiar Children,110000000
s283,Movie,Own the Room,0
s284,Movie,Garfield: A Tail of Two Kitties,60000000
s285,TV Show,American Dragon: Jake Long,
s286,TV Show,Car S.O.S.,
s287,TV Show,Disney Channel Games,
s288,TV Show,Roll it Back,
s289,TV Show,Dog with a Blog,
s290,TV Show,Mickey Go Local,
s291,Movie,Myth: A Frozen Tale,0
s292,Movie,Okavango: River of Dreams,0
s293,TV Show,Pair of Kings,
s294,TV Show,Secrets of Sulphur Springs,
s295,Movie,Shanghai Disney Resort Grand Opening Gala,0
s296,Movie,Cheaper by the Dozen,0
s297,Movie,Cheaper by the Dozen 2,60000000
s298,Movie,Flora & Ulysses,0
s299,Movie,The Book of Life,50000000
s300,TV Show,The Muppet Show,
s301,TV Show,Marvel Battleworld: Mystery of the Thanostones,
s302,Movie,Marvel's Behind the Mask,0
s303,Movie,Cinderella,0
s304,Movie,You Again,20000000
s305,Movie,Disney My Music Story: YOSHIKI,0
s306,Movie,Expedition Everest,0
s307,Movie,Upside-Down Magic,0
s308,TV Show,Wicked Tuna: Outer Banks,
s309,TV Show,Dinosaurs,
s310,Movie,Texas Storm Squad,0
s311,TV Show,Pixar Popcorn,
s312,Movie,Wild Uganda,0
s313,TV Show,Elena of Avalor,
s314,Movie,Isle of Dogs,62770198
s315,Movie,Mary Poppins Returns,130000000
s316,TV Show,WandaVision,
s317,TV Show,Disney Fam Jam,
s318,Movie,Ferdinand,111000000
s319,TV Show,Marvel Studios: Legends,
s320,Movie,Toy Story That Time Forgot,0
s321,Movie,700 Sharks,0
s322,Movie,Big Sharks Rule,0
s323,Movie,Dr. Seuss' How the Grinch Stole Christmas! and Horton Hears a Who!,0
s324,Movie,Great Shark Chow Down,0
s325,Movie,Mega Hammerhead,0
s326,Movie,Burrow,0
s327,TV Show,Cosmos: Possible Worlds,
s328,TV Show,Disney Gallery / Star Wars: The Mandalorian,
s329,Movie,Max Keeble's Big Move,25000000
s330,Movie,Soul,150000000
s331,Movie,Arendelle Castle Yule Log,0
s332,Movie,Buried Truth of the Maya,0
s333,TV Show,Disney Parks Sunrise Series,
s334,Movie,Dory's Reef Cam,0
s335,Movie,Into the Woods,50000000
s336,Movie,"Miraculous World: New York, United HeroeZ",0
s337,TV Show,On Pointe,
s338,TV Show,Wild Nordic,
s339,Movie,Epic Holiday Showdown,0
s340,Movie,Disney Holiday Magic Quest,0
s341,Movie,Gender Revolution: A Journey with Katie Couric,0
s342,Movie,High School Musical: The Musical: The Holiday Special,0
s343,Movie,Ralph Breaks the Internet,175000000
s344,Movie,Safety,0
s345,Movie,Anastasia,53000000
s346,Movie,Godmothered,0
s347,Movie,Man vs. Shark,0
s348,Movie,Mulan,90000000
s349,Movie,Sky High,35000000
s350,Movie,The Disney Holiday Singalong,0
s351,Movie,The Nutcracker and the Four Realms,120000000
s352,Movie,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000
s353,Movie,Black Beauty,0
s354,Movie,From Our Family to Yours,0
s355,TV Show,Once Upon a Time in Wonderland,
s356,TV Show,Party Animals,
s357,Movie,Folklore: The Long Pond Studio Sessions,0
s358,TV Show,BIA,
s359,TV Show,Marvel's 616,
s360,Movie,Planes,50000000
s361,Movie,Planes: Fire & Rescue,50000000
s362,Movie,The Real Right Stuff,0
s363,TV Show,The Wonderful World of Mickey Mouse,
s364,Movie,LEGO Star Wars Holiday Special,0
s365,Movie,Home Alone,18000000
s366,Movie,Home Alone 2: Lost in New York,18000000
s367,Movie,Home Alone 3,32000000
s368,TV Show,Inside Pixar,
s369,Movie,Petra: Secrets of the Ancient Builders,0
s370,Movie,Ultimate Viking Sword,0
s371,Movie,A Christmas Carol,200000000
s372,TV Show,Fancy Nancy: Fancy It Yourself,
s373,TV Show,Goldie & Bear,
s374,Movie,Mr. Magoo,30000000
s375,Movie,Prep & Landing,0
s376,Movie,Prep & Landing: Naughty vs. Nice,0
s377,Movie,Disney Channel Halloween House Party,0
s378,TV Show,The Mandalorian,
s379,Movie,The Sorcerer's Apprentice,150000000
s380,TV Show,X-Ray Earth,
s381,TV Show,Gathering Storm,
s382,TV Show,India from Above,
s383,TV Show,Marvel Super Hero Adventures,
s384,Movie,Once Upon a Snowman,0
s385,Movie,Pompeii: Secrets of the Dead,0
s386,Movie,Toy Story of Terror!,0
s387,Movie,Beverly Hills Chihuahua,20000000
s388,Movie,Clouds,0
s389,Movie,Lost on Everest,0
s390,Movie,Iron Man & Captain America: Heroes United,0
s391,TV Show,Meet the Chimps,
s392,TV Show,The Rocketeer,
s393,Movie,Oil Spill of The Century,0
s394,Movie,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000
s395,TV Show,The Right Stuff,
s396,Movie,Wild Portugal,0
s397,Movie,X2,110000000
s398,Movie,Mr. Holland's Opus,31000000
s399,Movie,Oceans,0
s400,Movie,Hidden Figures,25000000
s401,TV Show,Magic of Disney's Animal Kingdom,
s402,Movie,Secret Society of Second Born Royals,0
s403,Movie,The Giant Robber Crab,0
s404,TV Show,Wild Central America,
s405,TV Show,Ancient China from Above,
s406,TV Show,Becoming,
s407,TV Show,Coop & Cami Ask The World,
s408,TV Show,Europe From Above,
s409,Movie,EverAfter,26000000
s410,TV Show,Kingdom of the Mummies,
s411,Movie,Morning Light,0
s412,Movie,Notre Dame: Race Against the Inferno,0
s413,TV Show,Once Upon a Time,
s414,TV Show,I am Luna,
s415,TV Show,Violetta,
s416,Movie,Christopher Robin,75000000
s417,Movie,D2: The Mighty Ducks,0
s418,Movie,D3: The Mighty Ducks,0
s419,TV Show,Earth to Ned,
s420,Movie,Trick or Treat,0
s421,Movie,Alice Through the Looking Glass,170000000
s422,Movie,Phineas and Ferb: The Movie: Candace Against the Universe,0
s423,Movie,Back to the Titanic,0
s424,Movie,Beauty and the Beast,25000000
s425,Movie,Mars: One Day on the Red Planet,0
s426,Movie,The One and Only Ivan,0
s427,TV Show,"Weirdest, Bestest, Truest",
s428,TV Show,Calling All T.O.T.S.,
s429,Movie,Z-O-M-B-I-E-S 2,0
