height,weight,gender
169.3,69.2,0
178.5,96.0,1
156.7,55.7,0
157.9,59.5,0
177.0,91.5,1
165.8,73.2,0
170.0,77.1,1
161.4,66.7,0
180.0,84.5,1
176.8,86.9,1
167.1,81.2,1
163.6,64.3,0
155.4,56.5,0
175.5,85.5,1
152.9,57.3,0
160.1,55.4,0
149.2,48.5,0
179.5,92.5,1
183.5,100.2,1
153.4,51.2,0
173.5,85.9,1
167.7,72.7,1
151.1,46.6,0
176.2,89.0,1
173.9,84.1,1
169.2,68.6,0
178.6,87.3,1
163.9,67.2,0
188.7,103.9,1
174.3,87.6,1
166.5,64.1,0
172.9,85.0,1
163.1,65.4,0
172.4,76.6,1
183.5,91.5,1
169.7,79.4,1
183.1,92.0,1
159.6,56.9,0
170.7,69.8,0
175.2,79.6,1
158.7,65.5,1
176.2,76.9,0
164.0,62.4,0
177.8,81.5,1
168.9,75.1,1
183.6,97.0,1
159.1,61.7,0
151.9,53.0,0
175.4,82.3,1
159.1,64.8,0
177.1,83.3,1
160.0,67.1,1
159.1,53.8,0
168.2,72.3,1
170.5,72.1,0
166.3,78.8,1
158.3,56.1,0
158.9,64.6,0
167.6,80.6,1
168.4,72.2,1
167.8,64.7,0
168.3,75.1,0
167.9,62.4,0
171.0,72.8,0
188.6,99.1,1
172.3,75.4,1
170.8,64.8,0
174.5,85.0,1
169.2,73.7,1
152.5,53.3,0
160.9,60.8,0
182.9,92.4,1
177.2,84.5,1
164.1,71.9,1
157.2,58.3,0
161.6,74.1,1
144.1,47.0,0
168.3,63.7,0
194.8,105.8,1
173.5,93.6,1
180.1,90.9,1
186.4,87.4,1
179.6,84.8,1
172.4,76.6,1
175.7,82.5,1
190.0,97.6,1
162.4,57.6,0
155.6,55.7,0
160.5,51.8,0
180.5,83.3,1
165.7,70.5,0
170.4,88.0,1
139.4,35.7,0
154.8,43.4,0
159.3,71.8,0
158.9,51.5,0
181.4,94.4,1
160.5,67.0,0
180.3,98.0,1
180.2,79.8,0
178.4,89.1,1
159.6,60.4,0
161.3,58.6,0
144.3,38.2,0
177.3,90.6,1
174.3,81.3,1
167.2,67.3,0
179.2,81.9,1
163.8,74.7,1
161.8,64.6,0
165.7,67.7,0
175.3,84.7,1
168.1,68.6,0
177.0,98.3,1
157.6,63.1,0
186.9,94.0,1
180.8,96.8,1
194.2,96.9,1
173.2,80.5,0
178.9,91.1,1
160.3,53.5,0
164.9,68.7,0
169.8,71.0,0
165.9,65.8,0
150.7,51.4,0
160.0,64.7,0
158.1,60.4,0
165.7,65.3,0
174.1,77.5,1
153.8,46.5,0
150.7,54.8,0
177.4,81.0,1
183.0,99.9,1
165.1,69.3,1
169.0,66.9,0
168.8,74.1,1
159.5,54.6,0
185.5,99.2,1
165.6,72.0,0
157.3,59.4,0
172.6,80.4,1
172.3,87.3,1
156.4,55.6,0
165.2,58.1,0
182.4,93.3,1
160.9,61.2,0
177.9,79.1,1
169.3,83.7,1
168.9,82.5,1
157.9,67.1,1
174.1,68.8,0
172.7,84.0,1
170.3,77.7,1
164.1,68.5,0
162.7,68.7,0
167.5,67.0,0
158.0,60.1,0
169.5,87.9,1
175.1,86.7,1
156.6,55.7,0
170.8,78.6,1
158.3,55.6,0
165.3,64.9,0
168.2,71.0,0
165.2,77.4,1
168.8,74.8,0
169.2,59.4,0
177.2,89.7,1
176.7,88.6,1
157.1,57.8,0
181.7,96.1,1
173.3,88.6,1
167.3,72.6,1
167.1,68.7,0
168.9,82.0,1
153.9,57.8,0
183.9,95.0,1
146.8,39.1,0
159.6,58.4,0
152.6,63.1,0
173.4,76.2,1
178.3,88.3,1
162.9,65.3,0
188.5,99.7,1
153.9,49.5,0
156.5,53.1,0
172.4,73.0,0
179.2,93.0,1
184.4,102.0,1
162.5,53.9,0
165.0,74.5,1
172.1,73.6,0
169.9,82.4,1
167.9,74.7,0
181.7,85.9,1
165.9,83.4,1
170.3,69.7,0
161.5,64.7,0
169.8,75.5,1
167.3,67.8,0
185.3,97.3,1
153.7,51.4,0
177.4,85.6,1
148.0,47.6,0
156.5,56.5,0
186.8,101.1,1
179.3,98.2,1
169.9,63.7,0
194.1,103.8,1
158.2,51.5,0
172.7,73.2,0
177.2,84.5,1
162.0,65.3,0
178.5,84.8,0
157.3,64.2,0
186.9,99.5,1
150.7,55.0,0
172.2,82.6,1
160.7,57.3,0
168.2,65.6,0
171.6,84.4,1
164.1,61.1,0
157.0,62.3,0
185.6,88.9,1
162.3,61.5,0
160.0,59.6,0
172.7,69.6,0
163.0,59.3,0
172.9,85.2,1
170.1,81.9,1
144.8,38.3,0
179.5,89.8,1
156.2,44.6,0
182.4,93.4,1
162.0,64.0,0
179.6,88.1,1
159.5,69.6,1
145.2,42.8,0
157.1,53.9,0
175.7,85.8,1
175.3,89.1,1
162.3,59.4,0
167.2,75.1,1
180.6,85.3,1
167.1,65.2,0
168.0,72.9,0
169.3,72.3,0
157.0,61.6,1
152.8,54.8,0
169.6,75.0,1
166.5,73.9,1
159.2,75.3,1
170.4,76.3,1
181.8,93.1,1
182.1,89.2,1
157.2,48.7,0
166.3,61.4,0
180.9,87.9,1
162.8,59.8,0
