id,city,name
41,Jena,Mensa Ernst-Abbe-Platz
58,Jena,Mensa Carl-Zeiss-Promenade
59,Jena,Mensa Philosophenweg
60,Jena,Cafeteria vegeTable
61,Jena,Cafeteria EAH
63,Jena,Cafeteria Zur Rosen
64,Jena,Cafeteria Uni-Hauptgebäude
65,Jena,Cafeteria Bibliothek
44,Erfurt,Mensa Nordhäuser Straße
47,Erfurt,Mensa Altonaer Straße
51,Erfurt,Cafeteria Schlüterstraße
52,Erfurt,Cafeteria Leipziger Straße
46,Ilmenau,Mensa Ehrenberg
53,Ilmenau,Cafeteria Mensa Ehrenberg
55,Ilmenau,Cafeteria NANOteria
57,Ilmenau,Cafeteria Röntgenbau
67,Gera,Mensa Weg der Freundschaft
69,Eisenach,Mensa am Wartenberg
71,Nordhausen,Mensa Weinberghof
73,Schmalkalden,Mensa Blechhammer
77,Weimar,Mensa am Park
80,Weimar,Cafeteria Anna-Amalia-Bibliothek
81,Weimar,Cafeteria Coudraystraße
